system:index,DTM_10m,aspect,dtm10_focal,hillshade,isothermality,ndvi,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,slope,soil_bd,soil_carbon,soil_ph,soil_sand,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,x,y,.geo
0,70.92802,190.11864011139502,6.392776905793754,181.8249598990739,22.0,0.739,154.0,40.0,133.0,768.0,26.0,218.0,91.0,257.0,7.190223523754243,152,10,51,58,247.0,-18.0,55.0,7.0,198.0,66.0,-49.0,6825.0,156.0,117.0,10.957673321849363,59.25937499461516,
1,150.6869,142.9489815618005,4.931658854473943,176.72141589615654,23.0,0.7608,167.0,43.0,137.0,815.0,26.0,237.0,93.0,267.0,4.333768817475603,139,4,51,62,257.0,-28.0,60.0,0.0,197.0,59.0,-60.0,7005.0,151.0,111.0,11.409384810726499,59.257291661282004,
2,71.874115,231.82025204090152,6.309871880235608,191.67668067473198,22.0,0.72695,153.0,39.0,132.0,767.0,26.0,218.0,91.0,257.0,6.986702393451225,150,9,51,56,247.0,-18.0,55.0,8.0,198.0,67.0,-49.0,6852.0,157.0,118.0,10.956333606956099,59.255208327948864,
3,158.7151,203.3620973892362,8.411085216732372,174.89092932105973,23.0,0.7487,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,10.198836264779564,144,5,50,57,256.0,-30.0,60.0,-1.0,195.0,58.0,-61.0,7001.0,149.0,110.0,11.404612088165058,59.255208327948864,
4,161.24734,132.11216318115757,6.39259897727406,168.51032901177538,23.0,0.761,167.0,43.0,137.0,815.0,26.0,237.0,93.0,267.0,6.446666083758038,145,5,52,61,257.0,-28.0,60.0,0.0,197.0,59.0,-60.0,7005.0,151.0,111.0,11.408687347085149,59.255208327948864,
5,146.0574,165.62469071025365,3.3720419448785357,176.39565242420488,23.0,0.7616,167.0,43.0,137.0,815.0,26.0,237.0,93.0,267.0,2.9333606464840294,146,5,52,61,257.0,-28.0,60.0,0.0,197.0,59.0,-60.0,7005.0,151.0,111.0,11.412762606005238,59.255208327948864,
6,197.13863,117.4620787775167,6.840043138680269,169.48315606725762,23.0,0.733,170.0,44.0,139.0,824.0,25.0,240.0,94.0,269.0,6.982712392901478,140,4,51,58,257.0,-30.0,60.0,-1.0,195.0,58.0,-62.0,7021.0,150.0,110.0,11.395764954341512,59.25312499461571,
7,171.43727,126.52304412465567,8.106848841973212,162.9486794294181,23.0,0.7463,170.0,44.0,139.0,824.0,25.0,240.0,94.0,269.0,8.045664557828973,139,5,50,59,257.0,-30.0,60.0,-1.0,195.0,58.0,-62.0,7021.0,150.0,110.0,11.399839964158735,59.25312499461571,
8,164.27422,229.96572938453303,8.741141650333363,191.61217731929233,23.0,0.7511,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,10.22231938844897,141,7,51,57,256.0,-30.0,60.0,-1.0,195.0,58.0,-61.0,7001.0,149.0,110.0,11.403914973976024,59.25312499461571,
9,172.07713,156.46131431740417,5.3018643867788535,174.07535154050524,23.0,0.7439,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,4.257348761044742,144,6,51,58,256.0,-30.0,60.0,-1.0,195.0,58.0,-61.0,7001.0,149.0,110.0,11.407989983793312,59.25312499461571,
10,72.214836,150.15218394377538,6.769063059044113,167.5544583801855,22.0,0.71845,153.0,39.0,132.0,767.0,26.0,218.0,91.0,257.0,6.34032963441201,150,11,53,58,247.0,-18.0,55.0,8.0,198.0,67.0,-49.0,6852.0,157.0,118.0,10.95091951679519,59.25104166128257,
11,158.64647,266.52175232845275,14.662356356214582,222.98246235596412,23.0,0.7571,167.0,43.0,137.0,816.0,25.0,237.0,94.0,268.0,14.74760406831978,135,3,52,64,256.0,-29.0,60.0,0.0,196.0,59.0,-60.0,7004.0,151.0,111.0,11.390993677829524,59.25104166128257,
12,195.07268,191.8425090613062,9.194086512550616,185.105273313058,23.0,0.7441,170.0,44.0,139.0,824.0,25.0,240.0,94.0,269.0,8.006745610324694,135,5,52,61,257.0,-30.0,60.0,-1.0,195.0,58.0,-62.0,7021.0,150.0,110.0,11.395068438579848,59.25104166128257,
13,168.10933,194.93976750780158,11.867024094139499,168.4980466262416,23.0,0.7365,170.0,44.0,139.0,824.0,25.0,240.0,94.0,269.0,14.381083798881084,134,5,50,62,257.0,-30.0,60.0,-1.0,195.0,58.0,-62.0,7021.0,150.0,110.0,11.399143199330108,59.25104166128257,
14,181.76112,185.60203711585106,9.23025087928249,186.57059895410916,23.0,0.7448,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,7.547910655491828,137,5,51,62,256.0,-30.0,60.0,-1.0,195.0,58.0,-61.0,7001.0,149.0,110.0,11.403217960080434,59.25104166128257,
15,178.00473,129.9262738469531,5.144254292653182,173.3487816952928,23.0,0.7286,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,6.3015546352756555,144,5,50,59,256.0,-30.0,60.0,-1.0,195.0,58.0,-61.0,7001.0,149.0,110.0,11.40729272083076,59.25104166128257,
16,177.02567,187.2047130085488,12.69312120900169,177.21036312756823,23.0,0.7512,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,11.759121690977782,140,3,52,64,256.0,-29.0,60.0,-1.0,195.0,58.0,-61.0,6972.0,149.0,109.0,11.394372023019727,59.24895832794942,
17,166.83688,192.68747644036995,10.673384744824155,188.1956108400515,23.0,0.757,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,12.45429799893633,136,4,52,63,256.0,-29.0,60.0,-1.0,195.0,58.0,-61.0,6972.0,149.0,109.0,11.398446534738854,59.24895832794942,
18,193.28773,215.6742303267573,6.356780983644897,194.09850600316705,23.0,0.7519,170.0,44.0,139.0,826.0,25.0,240.0,94.0,270.0,6.760386622625604,141,5,51,61,256.0,-30.0,60.0,-2.0,194.0,57.0,-62.0,6979.0,149.0,109.0,11.402521046458048,59.24895832794942,
19,182.12474,82.44876275558195,6.274478299557356,161.4451578550854,23.0,0.7239,170.0,44.0,139.0,826.0,25.0,240.0,94.0,270.0,6.830188192782928,144,5,51,61,256.0,-30.0,60.0,-2.0,194.0,57.0,-62.0,6979.0,149.0,109.0,11.406595558177242,59.24895832794942,
20,177.1342,231.83707521179005,9.019941347553248,200.35484146492936,23.0,0.7599,168.0,43.0,138.0,819.0,25.0,237.0,94.0,268.0,8.843006853374884,143,3,52,63,256.0,-29.0,60.0,-1.0,195.0,58.0,-61.0,6972.0,149.0,109.0,11.39774997036476,59.24687499461628,
21,192.4726,242.87874682775833,5.1397373586335355,188.26175453872622,23.0,0.7439,170.0,44.0,139.0,826.0,25.0,240.0,94.0,270.0,4.818691873544223,145,6,51,61,256.0,-30.0,60.0,-2.0,194.0,57.0,-62.0,6979.0,149.0,109.0,11.401824233088643,59.24687499461628,
22,190.84918,110.4774321992979,6.2562917263021705,169.25338110413358,23.0,0.7264,170.0,44.0,139.0,826.0,25.0,240.0,94.0,270.0,4.816002613997398,147,6,50,63,256.0,-30.0,60.0,-2.0,194.0,57.0,-62.0,6979.0,149.0,109.0,11.405898495812531,59.24687499461628,
23,164.03339,140.37612953454047,6.186657558687767,167.06284192272653,23.0,0.723,168.0,43.0,137.0,818.0,26.0,237.0,94.0,268.0,6.699208081051309,146,4,52,61,257.0,-29.0,60.0,-1.0,196.0,58.0,-61.0,7011.0,150.0,110.0,11.409972758536416,59.24687499461628,
24,238.07874,181.3558169800971,3.5624382830872734,186.17051484352908,23.0,0.75455,172.0,44.0,140.0,831.0,25.0,243.0,93.0,269.0,3.7727689019058994,141,11,50,57,260.0,-35.0,62.0,-5.0,193.0,53.0,-67.0,7040.0,146.0,105.0,11.58516605566316,59.24687499461628,
25,236.19447,170.8559458516485,7.814446123394464,175.64737374105428,23.0,0.7688,172.0,44.0,140.0,831.0,25.0,243.0,93.0,269.0,7.630663062574568,142,12,53,58,260.0,-35.0,62.0,-5.0,193.0,53.0,-67.0,7040.0,146.0,105.0,11.589240318387047,59.24687499461628,
26,244.73677,231.81035996265047,8.23163006052833,189.76964815535962,23.0,0.7494,172.0,44.0,140.0,832.0,25.0,244.0,93.0,269.0,5.5533007593353805,146,15,53,57,261.0,-35.0,62.0,-6.0,193.0,53.0,-68.0,7055.0,146.0,105.0,11.593314581110931,59.24687499461628,
27,193.79599,143.05450299087943,3.6735676101333388,174.89917343837166,23.0,0.7455,170.0,44.0,139.0,826.0,25.0,240.0,94.0,270.0,4.666501145098952,149,4,51,65,256.0,-30.0,60.0,-2.0,194.0,57.0,-62.0,6979.0,149.0,109.0,11.401127519952,59.244791661283124,
28,181.76042,120.86567117602166,8.723395720876113,165.6226566119864,23.0,0.7352,170.0,44.0,139.0,826.0,25.0,240.0,94.0,270.0,7.6460057492548055,146,5,50,62,256.0,-30.0,60.0,-2.0,194.0,57.0,-62.0,6979.0,149.0,109.0,11.405201533716395,59.244791661283124,
29,156.26808,156.8631974932352,11.8015054651388,167.42825066853746,23.0,0.731,168.0,43.0,137.0,818.0,26.0,237.0,94.0,268.0,10.325428605326854,144,5,51,62,257.0,-29.0,60.0,-1.0,196.0,58.0,-61.0,7011.0,150.0,110.0,11.409275547480789,59.244791661283124,
30,221.272,148.078300807356,7.741212550704007,172.85744351578592,23.0,0.7553,172.0,44.0,140.0,831.0,25.0,243.0,93.0,269.0,8.671462508480849,140,9,51,59,260.0,-35.0,62.0,-5.0,193.0,53.0,-67.0,7040.0,146.0,105.0,11.5885321531138,59.244791661283124,
31,215.80324,174.33441892219903,12.188169508085421,183.3477759245147,23.0,0.74065,172.0,44.0,140.0,832.0,25.0,244.0,93.0,269.0,10.504729503900087,137,13,54,56,261.0,-35.0,62.0,-6.0,193.0,53.0,-68.0,7055.0,146.0,105.0,11.592606166878193,59.244791661283124,
32,218.9659,127.59939589557308,5.124540954514184,167.80798268289902,23.0,0.71745,172.0,44.0,140.0,831.0,25.0,243.0,93.0,269.0,5.4362371039835855,137,11,52,59,260.0,-35.0,62.0,-5.0,193.0,53.0,-67.0,7040.0,146.0,105.0,11.58782408970033,59.242708327949984,
33,215.22299,237.19916457612848,4.122424171962138,192.39018704626147,23.0,0.7498,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,4.745167674357646,150,10,51,63,259.0,-34.0,62.0,-4.0,193.0,54.0,-66.0,7027.0,146.0,107.0,11.578969096220426,59.24062499461683,
34,222.03264,168.09226026165075,6.161937109028592,174.82773787215905,23.0,0.7463,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,4.672050297728564,148,11,53,59,259.0,-34.0,62.0,-4.0,193.0,54.0,-66.0,7027.0,146.0,107.0,11.583042612173259,59.24062499461683,
35,212.72713,164.49793852953488,5.986769468034678,176.60981359529055,23.0,0.7234,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,5.0731108428667095,137,10,53,60,260.0,-34.0,62.0,-5.0,194.0,54.0,-66.0,7051.0,147.0,106.0,11.587116128126093,59.24062499461683,
36,215.14507,291.4081351611036,6.649241460736554,191.49331562646248,23.0,0.7339,172.0,44.0,139.0,829.0,25.0,242.0,93.0,269.0,5.609570842540234,140,12,53,58,260.0,-34.0,62.0,-5.0,194.0,54.0,-66.0,7051.0,147.0,106.0,11.591189644078923,59.24062499461683,
37,209.80872,164.78735184958785,1.4784455194231951,178.86381597984536,23.0,0.70805,172.0,44.0,140.0,830.0,25.0,242.0,93.0,269.0,1.2553393624255382,146,8,52,62,259.0,-33.0,62.0,-4.0,193.0,55.0,-66.0,7021.0,147.0,107.0,11.561968665766134,59.238541661283676,
