soil_ph,soil_bd,DTM_10m,slope,temp_seasonality,soil_sand,rain_warmestQuart,soil_carbon,isothermality,aspect,ndvi,id
54,154,654.6311,13.68667692039031,8075,57,238,5,25,306.89831127555664,0.7441,51663
53,117,898.4323,40.59349121616455,5848,58,332,4,27,252.10502503990725,0.7365,57870
55,133,909.4291,14.530176448626355,7749,54,272,4,27,127.28006046364737,0.7315,2986
51,149,219.34079,6.447906266875209,6981,63,240,7,24,192.83346247001847,0.7263,29925
54,134,542.8264,9.067280297614492,6271,61,278,7,25,223.87916700599865,0.69245,68293
50,134,382.45248,20.619282297237792,5422,60,375,14,25,305.9112875030429,0.7904,62555
59,135,632.41724,2.4032378646547343,8031,55,240,4,24,193.97645462146045,0.7012,45404
49,128,504.48337,12.795513377561406,4487,64,421,12,28,328.17545857159394,0.7547,65161
54,113,838.33014,2.2739079730246283,7961,54,242,16,25,145.66346936686318,0.6352,46435
50,143,580.5109,9.844371907290036,7495,62,264,7,25,171.0361864758826,0.7667,9642
49,100,231.5709,46.08406620704029,5675,62,354,9,28,318.423535232224,0.7435,59134
59,142,550.2963,14.878806125070646,8073,58,240,2,25,103.30749886690998,0.6944,52132
54,130,616.9506,13.513760240352182,6223,56,276,15,28,271.335763937001,0.752,14183
50,116,889.05194,11.282974843660758,7054,56,251,6,26,224.25591352532024,0.73925,15180
57,147,842.74164,8.315801242323566,7883,55,263,16,27,338.4090111410568,0.7591,27168
54,155,172.7519,4.926627111054945,7652,65,244,5,24,178.56490667244123,0.76175,9097
58,133,632.22266,1.4958465404911492,8048,50,247,9,25,121.08441404309146,0.6953,30538
52,111,608.41266,11.910895163697079,5580,59,372,4,23,133.6438419571898,0.7119,56219
54,146,365.72992,18.018775797442146,7843,61,239,5,26,259.71517576516976,0.7976,7989
50,131,645.8796,19.466107731216326,6156,58,282,5,28,255.32284483420077,0.7949,13536
56,121,698.6687,22.75001614046127,7761,60,256,4,26,176.53393545614148,0.7735,6216
58,130,841.5516,10.463391471529564,6869,58,239,3,28,256.0745991466072,0.7824,83519
53,149,204.2008,2.827607252837784,7027,60,242,11,23,191.76439849345678,0.7433,29394
57,123,833.06415,5.761800179746354,7993,56,254,3,25,72.08537403627736,0.72885,53241
53,130,864.3678,9.909307089936595,7950,55,266,5,26,47.43584808313279,0.77,28825
47,125,374.53772,10.983088854978883,4678,60,505,8,27,160.74512913981613,0.7897,41
51,138,893.8388,31.14097866054322,6225,57,279,6,28,342.19594802493845,0.75475,14426
54,137,129.80045,9.043748519966918,5582,62,286,5,23,218.93461414237035,0.7423,72820
51,136,800.1454,14.194013308482955,7987,53,256,6,25,147.83555065195708,0.7026,51656
60,113,442.8901,47.55364634823164,5940,61,262,16,29,99.4703324446057,0.8081,58527
51,147,867.2563,13.8897063980008,6032,57,356,6,25,186.24814016706836,0.6779,77009
57,148,787.23663,18.241377205863184,7761,53,236,6,25,256.7796603428689,0.8016,43042
51,95,115.01815,10.418654058064666,4535,55,239,12,28,171.96960849394165,0.8285,77837
55,143,874.9219,6.138435883472179,7455,49,271,3,27,255.26595172116163,0.7112,6134
53,133,287.59384,2.051856376010337,7762,61,252,8,24,195.37168363569128,0.7251,33523
60,149,846.3593,6.432852668025467,7831,53,250,15,26,221.76178867825715,0.7621,21812
56,139,737.92523,4.858408077099847,7930,61,238,7,24,247.7365214990544,0.5922,39895
52,146,584.39105,4.606593780281844,7511,61,263,5,25,71.7549079117248,0.7302,9640
54,134,66.23653,22.170772071157234,6228,61,181,5,28,164.50357247702635,0.77745,85278
49,145,259.622,7.319882704621213,7622,66,250,10,24,121.58001329396757,0.81255,9326
56,122,914.79504,7.644941748055141,7802,56,266,1,27,209.9699707394005,0.76135,26510
56,120,897.5703,40.630914124727404,7622,56,245,3,27,84.30284480781084,0.6527,20960
55,122,629.3293,10.627255591464547,6258,54,273,7,28,121.39755643967204,0.7696,14403
49,116,409.75278,18.893294450976395,4635,63,356,7,28,149.5412929738292,0.7563,64502
53,138,396.30035,4.615792037760874,5878,56,305,2,24,135.5483811283928,0.7171,71503
62,137,689.20044,0.7445168753691883,8052,50,235,6,24,63.309708483493836,0.4795,45221
53,127,704.758,19.681771957745095,5962,59,348,3,24,315.32824226077406,0.77115,77585
53,116,792.05176,23.185987127274224,5988,56,190,3,28,104.08549919386257,0.8242,80686
52,135,551.37744,14.779861450271161,5913,57,315,7,24,118.35967889662719,0.8003,70563
53,137,636.6829,12.408676067207598,7839,61,272,11,24,133.29804529634703,0.7696,32606
54,117,932.31433,21.72163971332447,6450,56,279,0,28,229.1993252443201,0.7583,16152
52,115,1020.49927,6.421855910420905,7595,54,268,5,27,207.22098233037525,0.71295,25559
49,113,740.4735,3.381294943001749,6420,59,269,7,28,148.76774269931738,0.73675,14215
52,118,724.1399,2.956618682690191,6413,55,267,6,28,134.21548446378998,0.72255,14287
